seed,fold,family,accuracy,model__max_depth,model__C,model__penalty,model__max_features
16,5,random forest,0.8314606741573034,5,,,sqrt
17,1,decision tree,0.8212290502793296,3,,,
17,1,logistic regression,0.8100558659217877,,0.1,l2,
17,1,random forest,0.8268156424581006,5,,,sqrt
17,2,decision tree,0.7865168539325843,4,,,
17,2,logistic regression,0.7865168539325843,,0.1,l1,
17,2,random forest,0.7921348314606742,5,,,sqrt
17,3,decision tree,0.7752808988764045,4,,,
17,3,logistic regression,0.7471910112359551,,0.1,l2,
17,3,random forest,0.7696629213483146,4,,,sqrt
17,4,decision tree,0.848314606741573,4,,,
17,4,logistic regression,0.8202247191011236,,0.1,l1,
17,4,random forest,0.8258426966292135,3,,,sqrt
17,5,decision tree,0.8426966292134831,3,,,
17,5,logistic regression,0.8314606741573034,,0.1,l2,
17,5,random forest,0.8426966292134831,4,,,sqrt
18,1,decision tree,0.8044692737430168,6,,,
18,1,logistic regression,0.8100558659217877,,0.1,l1,
18,1,random forest,0.8268156424581006,5,,,sqrt
18,2,decision tree,0.7865168539325843,4,,,
18,2,logistic regression,0.7696629213483146,,0.1,l2,
18,2,random forest,0.7808988764044944,4,,,sqrt
18,3,decision tree,0.8089887640449438,4,,,
18,3,logistic regression,0.8033707865168539,,0.1,l2,
18,3,random forest,0.8426966292134831,5,,,sqrt
18,4,decision tree,0.8370786516853933,3,,,
18,4,logistic regression,0.8202247191011236,,0.1,l2,
18,4,random forest,0.8202247191011236,3,,,sqrt
18,5,decision tree,0.8258426966292135,6,,,
18,5,logistic regression,0.8146067415730337,,0.1,l1,
18,5,random forest,0.8314606741573034,5,,,sqrt
19,1,decision tree,0.7653631284916201,5,,,
19,1,logistic regression,0.7374301675977654,,0.1,l1,
19,1,random forest,0.7932960893854749,5,,,sqrt
19,2,decision tree,0.7921348314606742,3,,,
19,2,logistic regression,0.7808988764044944,,10.0,l1,
19,2,random forest,0.7921348314606742,5,,,sqrt
19,3,decision tree,0.8089887640449438,5,,,
19,3,logistic regression,0.8202247191011236,,1.0,l1,
19,3,random forest,0.8314606741573034,4,,,sqrt
19,4,decision tree,0.8202247191011236,3,,,
19,4,logistic regression,0.8033707865168539,,0.1,l2,
19,4,random forest,0.8314606741573034,5,,,sqrt
19,5,decision tree,0.8202247191011236,5,,,
19,5,logistic regression,0.7921348314606742,,1.0,l1,
19,5,random forest,0.8258426966292135,5,,,sqrt
